0,0,1
1,1,2
2,1,3
3,2,4
4,2,5
5,2,6
6,2,9
7,4,5
8,5,6
9,5,7
10,9,8
11,9,10
12,10,11
13,11,12
14,11,14
15,14,15
16,10,13
17,15,13
18,9,16
19,16,18
20,16,17
21,17,18
22,18,19
23,18,20
24,20,21
25,21,33
26,20,22
27,20,23
28,20,24
29,16,25
30,22,25
31,22,26
32,22,27
33,27,28
34,22,29
35,29,30
36,30,47
37,47,31
38,10,32
39,47,46
40,46,50
41,50,51
42,10,47
43,31,32
44,37,48
45,48,49
46,37,36
47,36,35
48,35,34
49,35,39
50,34,38
51,38,39
52,36,40
53,40,39
54,40,41
55,37,41
56,37,42
57,42,43
58,41,43
59,42,44
60,43,44
61,37,46
62,41,45
63,45,46
64,45,70
65,46,52
66,46,53
67,52,53
68,53,54
69,50,70
70,50,55
71,54,70
72,55,70
73,33,57
74,57,39
75,57,62
76,39,41
77,41,45
78,45,70
79,38,58
80,62,58
81,57,58
82,58,59
83,41,63
84,41,66
85,59,64
86,59,63
87,63,64
88,59,41
89,41,64
90,66,67
91,64,66
92,64,65
93,67,65
94,65,68
95,63,68
96,45,68
97,68,69
98,69,71
99,70,71
100,70,72
101,69,72
102,60,58
103,60,63
104,62,60
105,62,73
106,73,61
107,61,60
108,59,63
109,63,68
110,61,74
111,61,78
112,74,75
113,63,79
114,63,76
115,79,76
116,76,77
117,79,80
118,80,68
119,68,82
120,80,82
121,80,81
122,82,81
123,81,83
124,69,83
125,78,79
126,78,85
127,85,79
128,79,86
129,86,80
130,80,84
131,84,81
132,79,88
133,88,86
134,86,84
135,84,83
136,85,87
137,87,88
138,88,89
139,73,96
140,88,97
141,97,98
142,98,94
143,98,95
144,88,93
145,93,92
146,92,97
147,89,90
148,90,95
149,95,91
150,55,56
151,70,56

